"","day_reordered","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"502",6,68.7,61.8,0,0,301,0.597765363128492
"503",6,48.5,28,0,0,348,0.860335195530726
"504",6,69,55.3,0,0,333,0.776536312849162
"505",6,76.1,72.2,0,1,277,0.463687150837989
"506",6,53.9,50.7,0,0,321,0.709497206703911
"507",6,46.1,43.7,0,0,279,0.474860335195531
"508",6,74.5,70.5,0,0,298,0.581005586592179
"509",6,54.7,47.7,0,0,310,0.64804469273743
"510",6,71.8,69.1,0,1,271,0.430167597765363
"511",6,31.6,21.7,0,0,269,0.533333333333333
"512",6,39.4,22.2,0,0,293,0.678787878787879
"513",6,52.5,46,0,0,281,0.606060606060606
"514",6,61.5,56.3,0,0,282,0.612121212121212
